City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Yarada,IN,2021-07-28 00:13:04,17.65,83.2667,84.52,79,75,11.5
96,San Patricio,US,2021-07-28 00:13:04,28.017,-97.5169,93.92,51,83,12.71
97,Pochutla,MX,2021-07-28 00:13:05,15.7432,-96.4661,81.82,82,99,2.33
98,Aykhal,RU,2021-07-28 00:13:05,66.0,111.5,81.21,40,18,3.2
99,Cape Town,ZA,2021-07-28 00:13:05,-33.9258,18.4232,52.12,89,88,1.01
100,Garowe,SO,2021-07-28 00:13:06,8.4054,48.4845,75.4,51,98,24.67
101,Torbay,CA,2021-07-28 00:12:02,47.6666,-52.7314,67.15,96,90,17.27
102,Vao,NC,2021-07-28 00:13:06,-22.6667,167.4833,67.96,61,100,16.44
103,Butaritari,KI,2021-07-28 00:13:06,3.0707,172.7902,81.59,70,98,2.1
104,Lompoc,US,2021-07-28 00:12:48,34.6391,-120.4579,88.12,76,11,13.8
105,Touros,BR,2021-07-28 00:03:35,-5.1989,-35.4608,76.59,84,1,12.86
106,Geraldton,AU,2021-07-28 00:13:07,-28.7667,114.6,58.12,88,90,10.36
107,Kodiak,US,2021-07-28 00:13:07,57.79,-152.4072,63.91,55,40,5.75
108,Dubuque,US,2021-07-28 00:13:07,42.4833,-90.8668,87.51,57,1,6.91
109,Ilulissat,GL,2021-07-28 00:13:08,69.2167,-51.1,55.42,67,100,3.44
110,Guerrero Negro,MX,2021-07-28 00:13:08,27.9769,-114.0611,77.27,61,0,17.2
111,Avarua,CK,2021-07-28 00:13:08,-21.2078,-159.775,77.05,61,79,5.75
112,Leh,IN,2021-07-28 00:13:08,34.1667,77.5833,63.82,54,100,2.91
113,Nanortalik,GL,2021-07-28 00:13:09,60.1432,-45.2371,45.77,78,62,3.67
114,Hunchun,CN,2021-07-28 00:13:09,42.8675,130.3581,84.51,58,16,1.63
115,Vestmannaeyjar,IS,2021-07-28 00:00:36,63.4427,-20.2734,52.93,86,43,9.37
116,Rantepao,ID,2021-07-28 00:13:09,-2.9701,119.8978,70.43,77,70,0.36
117,Klyuchi,RU,2021-07-28 00:13:10,52.2667,79.1667,58.62,60,54,5.84
118,Tarnow,PL,2021-07-28 00:13:10,50.0138,20.987,69.71,85,68,4.97
119,Necochea,AR,2021-07-28 00:13:10,-38.5473,-58.7368,46.04,65,66,22.17
120,Osa,RU,2021-07-28 00:13:11,57.2829,55.4567,43.56,89,41,3.24
121,Colares,PT,2021-07-28 00:12:05,38.7992,-9.4469,67.28,75,0,17.0
122,Thompson,CA,2021-07-28 00:13:11,55.7435,-97.8558,74.07,45,99,6.6
123,Yumen,CN,2021-07-28 00:13:11,40.2833,97.2,77.59,20,23,4.92
124,Chaoyang,CN,2021-07-28 00:13:12,41.5703,120.4586,76.59,82,100,3.02
125,Salalah,OM,2021-07-28 00:13:12,17.0151,54.0924,76.89,93,98,9.35
126,Atuona,PF,2021-07-28 00:13:12,-9.8,-139.0333,78.22,65,13,16.93
127,New Baltimore,US,2021-07-28 00:13:12,42.6811,-82.7369,85.14,55,40,5.75
128,Qasigiannguit,GL,2021-07-28 00:13:13,68.8193,-51.1922,55.65,75,100,9.24
129,Richards Bay,ZA,2021-07-28 00:13:13,-28.783,32.0377,62.31,69,4,15.21
130,Bitung,ID,2021-07-28 00:13:13,1.4451,125.1824,85.05,78,21,15.95
131,Mayo,US,2021-07-28 00:13:13,38.8876,-76.5119,89.11,70,1,1.01
132,Castro,BR,2021-07-28 00:13:14,-24.7911,-50.0119,47.59,95,100,6.29
133,Olafsvik,IS,2021-07-28 00:13:14,64.8945,-23.7142,51.69,86,100,12.06
134,Mangrol,IN,2021-07-28 00:13:14,21.1167,70.1167,81.66,85,100,22.17
135,Thinadhoo,MV,2021-07-28 00:13:15,0.5333,72.9333,81.88,74,100,7.7
136,Kemijarvi,FI,2021-07-28 00:13:15,66.7131,27.4306,57.79,79,42,4.0
137,East London,ZA,2021-07-28 00:09:01,-33.0153,27.9116,72.91,24,1,14.29
