City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Broome,US,72.19,moderate rain,42.2506,-75.833,Chenango Valley State Park
509,Lagoa,PT,70.9,scattered clouds,39.05,-27.9833,Casa Das Faias
516,Wasilla,US,54.05,mist,61.5814,-149.4394,Alaska's Select Inn Wasilla
518,Macenta,GN,74.3,light rain,8.5435,-9.471,Hôtel Yansané
519,Bjornevatn,NO,48.54,broken clouds,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
520,Trelew,AR,65.16,clear sky,-43.249,-65.3051,Hotel Touring Club
522,Altusried,DE,73.8,overcast clouds,47.8,10.2167,Ferienwohnung Eisenmann
523,Nianzishan,CN,67.95,clear sky,47.5167,122.8833,Wenhua Hotel
524,Magistralnyy,RU,63.64,few clouds,56.1725,107.4458,Магистраль
525,Caravelas,BR,71.85,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
527,Ziway,ET,64.36,overcast clouds,7.9333,38.7167,Bethlehem Hotel
528,Suhbaatar,MN,57.2,broken clouds,50.2314,106.2078,Hotel Nine
531,Xiuyan,CN,71.37,overcast clouds,40.2928,123.2744,Helin Holiday Hotel
532,Tottori,JP,74.43,clear sky,35.5,134.2333,Hotel Monarque Tottori
535,Lerwick,GB,59.0,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
536,Uberlandia,BR,63.61,clear sky,-18.9186,-48.2772,Hotel Apollo
540,Cap Malheureux,MU,69.48,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
541,Newcastle,AU,48.65,clear sky,-32.9272,151.7765,NOAH'S on the beach
545,Springbok,ZA,50.23,clear sky,-29.6643,17.8865,Undulata Country Lodge
546,Batagay,RU,45.16,broken clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
548,Nuuk,GL,54.21,few clouds,64.1835,-51.7216,Vandrehuset
553,Dindori,IN,71.49,overcast clouds,22.95,81.0833,Konark Marriage Garden
554,Karratha,AU,69.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
556,Lowestoft,GB,71.11,broken clouds,52.4752,1.7516,Premier Inn Lowestoft hotel
560,Kazachinskoye,RU,53.49,overcast clouds,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
561,Grindavik,IS,64.87,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
566,Severobaykalsk,RU,58.24,few clouds,55.65,109.3167,Hostel03RUS
567,Inta,RU,47.55,broken clouds,66.0317,60.1659,Apartments in Inta city
568,Abatskoye,RU,55.04,broken clouds,56.2875,70.4555,Gostinitsa Abatskaya
572,Danielskuil,ZA,48.51,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
573,Dingzhou,CN,73.51,moderate rain,38.5131,114.9956,宜家时尚宾馆
576,Galeana,MX,71.31,overcast clouds,24.8333,-100.0667,Mirador
577,Ambanja,MG,71.64,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
579,Mumias,KE,71.47,overcast clouds,0.3351,34.4864,Mumias Sugar Guesthouse
581,Betioky,MG,69.94,broken clouds,-23.7167,44.3833,Bungalows Acacias Hotel
588,Kalachinsk,RU,55.06,few clouds,55.0529,74.5751,"Voskhod, Hotel"
593,Whitehorse,CA,58.1,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
595,Lakes Entrance,AU,43.57,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
601,Kasulu,TZ,67.21,clear sky,-4.5767,30.1025,Nazaret lodge
602,Rio Gallegos,AR,50.05,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
607,Clyde River,CA,50.23,broken clouds,70.4692,-68.5914,Qamaq Hotel
608,Lisakovsk,KZ,62.69,clear sky,52.5369,62.4936,Gostinitsa Lisakovsk
611,Iwanai,JP,70.72,scattered clouds,42.9744,140.5089,いわない高原ホテル
613,Juneau,US,62.83,few clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
618,Fort Nelson,CA,72.99,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
622,Ulaanbaatar,MN,59.13,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
623,Marawi,PH,70.02,overcast clouds,7.9986,124.2928,Derogongan Residence
625,Aberdeen,GB,61.29,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
626,Roma,US,69.87,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
631,Tsabong,BW,59.74,clear sky,-26.0217,22.401,Springbok Motel
634,Mount Gambier,AU,49.91,broken clouds,-37.8333,140.7667,The Commodore
635,Maldonado,UY,49.39,scattered clouds,-34.6667,-54.9167,La Cimarrona
636,Nizhniy Ingash,RU,53.92,overcast clouds,56.2,96.53,Gostinitsa Bayazet
638,Gornopravdinsk,RU,46.63,light rain,60.05,69.9,Burovik
639,Straumen,NO,73.4,light rain,63.8709,11.2999,Jægtvolden Fjordhotell
641,Megion,RU,46.42,broken clouds,61.0296,76.1136,Komfort Hotel
645,Vysotsk,RU,74.61,few clouds,60.6288,28.5705,"Country Club ""Fir"""
647,Emet,TR,72.1,clear sky,39.343,29.2585,Emet Thermal Resort Spa
650,Ginir,ET,63.25,overcast clouds,7.1333,40.7,Sura Dare Village
652,Orumiyeh,IR,69.35,few clouds,37.5527,45.0761,Urmia Kimia Mah Hotel
654,Goba,ET,53.33,overcast clouds,7.0167,39.9833,Goba Wabe Shebelle Hotel
657,Katherine,AU,64.72,clear sky,-14.4667,132.2667,Pine Tree Motel
660,Alyangula,AU,69.67,mist,-13.8483,136.4192,Groote Eylandt Lodge
661,Sitka,US,60.69,clear sky,57.0531,-135.33,Westmark Sitka
662,Ambovombe,MG,66.52,clear sky,-25.1667,46.0833,RELAHARA
663,Kupang,ID,73.92,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
665,Eureka,US,63.25,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
667,Kununurra,AU,66.18,clear sky,-15.7667,128.7333,Hotel Kununurra
671,Husavik,IS,53.51,overcast clouds,66.0449,-17.3389,Bjarnabúð
673,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
675,Lima,PE,61.14,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
676,Lobatse,BW,58.32,clear sky,-25.2167,25.6667,Swinburn's Rest
682,Verkhnya Syrovatka,UA,74.5,overcast clouds,50.829,34.9586,Admiral Hotel
683,Gubkinskiy,RU,50.99,overcast clouds,64.434,76.5026,MonarcH
689,Strezhevoy,RU,46.38,broken clouds,60.7333,77.5889,Sibiryachka
690,Guarapari,BR,67.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
