City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Kautokeino,NO,69.0125,23.0412,47.44,85,95,13.87,overcast clouds
120,Codrington,AU,-38.2667,141.9667,53.44,78,43,11.95,scattered clouds
121,Tiksi,RU,71.6872,128.8694,46.71,70,22,8.9,few clouds
122,Faya,SA,18.3851,42.4509,64.92,58,78,3.98,broken clouds
123,Boueni,YT,-12.9025,45.0761,76.98,60,0,19.39,clear sky
124,Namatanai,PG,-3.6667,152.4333,83.5,71,28,4.21,light rain
125,Bengkulu,ID,-3.8004,102.2655,84.6,66,58,7.58,broken clouds
126,Souillac,MU,-20.5167,57.5167,72.36,75,100,22.39,light rain
127,Nouadhibou,MR,20.931,-17.0347,67.77,92,1,18.07,clear sky
128,Gloversville,US,43.0528,-74.3438,63.68,94,33,0.6,scattered clouds
129,Bilibino,RU,68.0546,166.4372,39.31,81,100,5.93,overcast clouds
130,Nadym,RU,65.5333,72.5167,57.42,64,100,12.39,overcast clouds
131,Salalah,OM,17.0151,54.0924,78.89,89,90,12.66,overcast clouds
132,Taoudenni,ML,22.6783,-3.9836,96.84,23,8,7.83,clear sky
133,Cam Ranh,VN,11.9214,109.1591,96.76,44,20,3.44,few clouds
134,Anloga,GH,5.7947,0.8973,76.06,82,100,7.36,overcast clouds
135,Hobyo,SO,5.3505,48.5268,77.13,77,80,20.45,broken clouds
136,Kontagora,NG,10.3999,5.4695,70.16,97,100,3.89,light rain
137,Barrow,US,71.2906,-156.7887,48.22,93,90,9.22,moderate rain
138,Savannakhet,LA,16.566,104.751,85.53,72,100,12.39,overcast clouds
139,Lengshuitan,CN,26.4111,111.5956,96.15,45,2,5.03,clear sky
140,Cap Malheureux,MU,-19.9842,57.6142,72.46,71,99,11.99,overcast clouds
141,Inhapim,BR,-19.5492,-42.12,65.08,54,23,4.99,few clouds
142,Rudnyy,KZ,52.9594,63.1206,62.83,47,0,6.11,clear sky
143,Nagato,JP,34.3833,131.2,83.19,63,1,6.67,clear sky
144,Hambantota,LK,6.1241,81.1185,85.93,67,90,19.04,overcast clouds
145,Belen,TR,36.4891,36.2233,74.03,44,0,2.3,clear sky
146,Milkovo,RU,54.7167,158.6167,73.8,59,95,3.42,overcast clouds
147,Bathsheba,BB,13.2167,-59.5167,80.51,82,98,18.66,overcast clouds
148,Alberton,CA,46.8168,-64.0654,58.64,66,52,11.36,broken clouds
149,Winneba,GH,5.3511,-0.6231,73.65,87,100,4.07,overcast clouds
150,Portland,US,45.5234,-122.6762,85.73,45,40,1.01,scattered clouds
151,Hargeysa,SO,9.56,44.065,65.3,66,89,30.91,overcast clouds
152,Chuy,UY,-33.6971,-53.4616,42.37,73,51,12.19,broken clouds
153,Khatanga,RU,71.9667,102.5,72.28,52,86,8.68,overcast clouds
154,Matamoros,MX,25.5333,-103.25,80.11,42,55,8.3,broken clouds
155,Valle De Allende,MX,26.9333,-105.4,75.24,34,85,18.52,overcast clouds
156,Zimovniki,RU,47.1483,42.4633,76.82,42,25,4.36,scattered clouds
157,Marienburg,PL,54.0359,19.0266,64.06,91,5,7.11,clear sky
158,Sioux Lookout,CA,50.1001,-91.917,70.18,54,1,5.35,clear sky
159,Coahuayana,MX,18.7333,-103.6833,77.94,87,71,2.08,broken clouds
160,Airai,TL,-8.9266,125.4092,77.99,28,8,5.14,clear sky
161,Letlhakeng,BW,-24.0944,25.0298,45.64,54,0,2.84,clear sky
162,Boende,CD,-0.2167,20.8667,72.9,50,90,2.39,overcast clouds
163,Riyadh,SA,24.6877,46.7219,98.65,12,0,5.75,clear sky
164,Gallup,US,35.5281,-108.7426,72.01,54,1,3.44,clear sky
165,Georgetown,MY,5.4112,100.3354,86.9,71,20,2.3,light rain
166,Barhi,IN,23.9,80.8,75.49,91,100,11.97,overcast clouds
167,Victoria,HK,22.2855,114.1577,91.45,77,99,3.0,overcast clouds
168,Ancud,CL,-41.8697,-73.8203,44.13,92,8,4.29,clear sky
169,Seymchan,RU,62.8833,152.4333,47.48,61,91,18.7,overcast clouds
170,Chimore,BO,-16.9833,-65.1333,58.1,59,100,1.68,overcast clouds
171,Keuruu,FI,62.2667,24.7,65.95,96,99,7.27,overcast clouds
172,Kavaratti,IN,10.5669,72.642,82.26,77,100,16.53,overcast clouds
173,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,60,13.8,broken clouds
174,Gorgan,IR,36.8387,54.4348,75.94,89,99,6.42,overcast clouds
175,Aden,YE,12.7794,45.0367,81.46,83,86,2.06,overcast clouds
176,San Patricio,US,28.017,-97.5169,84.85,69,2,7.7,clear sky
177,Amapa,BR,1.0,-52.0,70.41,99,71,2.24,broken clouds
178,Litovko,RU,49.2361,135.1742,94.75,38,99,10.36,overcast clouds
179,Paamiut,GL,61.994,-49.6678,42.96,91,45,7.4,scattered clouds
180,Iqaluit,CA,63.7506,-68.5145,41.7,81,69,1.99,broken clouds
181,Cabo San Lucas,MX,22.8909,-109.9124,86.81,66,0,1.01,clear sky
182,Kavieng,PG,-2.5744,150.7967,84.52,70,29,6.53,scattered clouds
183,Akureyri,IS,65.6835,-18.0878,49.75,98,100,4.63,overcast clouds
184,Derzhavinsk,KZ,51.1,66.3167,65.03,47,6,12.1,clear sky
185,Isetskoye,RU,56.4858,65.3226,57.58,47,28,11.52,scattered clouds
186,Nelson Bay,AU,-32.7167,152.15,67.28,39,0,16.13,clear sky
187,Luwuk,ID,-0.9516,122.7875,86.09,68,50,7.87,scattered clouds
188,Porto Santo,PT,33.072,-16.3415,71.31,73,40,10.36,scattered clouds
189,Launceston,AU,-41.45,147.1667,56.84,62,40,4.0,scattered clouds
190,Hofn,IS,64.2539,-15.2082,54.77,79,100,11.27,overcast clouds
191,Nanortalik,GL,60.1432,-45.2371,44.11,90,78,9.6,broken clouds
192,Chardara,KZ,41.2547,67.9692,85.28,23,0,5.5,clear sky
193,Kathu,TH,7.9178,98.3332,86.7,77,100,16.82,overcast clouds
194,Tongliao,CN,43.6125,122.2653,83.03,57,100,2.08,overcast clouds
195,Ierapetra,GR,35.01,25.7353,81.45,52,0,11.27,clear sky
196,Murrieta,US,33.5539,-117.2139,86.09,57,1,0.0,clear sky
197,Luchegorsk,RU,46.4764,134.2569,96.58,41,57,2.73,light rain
198,Guerrero Negro,MX,27.9769,-114.0611,70.0,85,0,17.34,clear sky
199,Tukrah,LY,32.5341,20.5791,76.24,82,0,10.56,clear sky
200,Clyde River,CA,70.4692,-68.5914,41.97,77,22,4.5,few clouds
201,Luoyang,CN,34.6836,112.4536,89.04,53,18,3.22,light rain
202,Ust-Maya,RU,60.4167,134.5333,70.77,42,0,5.79,clear sky
203,Whitehorse,CA,60.7161,-135.0538,65.01,48,72,11.01,broken clouds
204,Arraial Do Cabo,BR,-22.9661,-42.0278,63.95,87,100,27.49,overcast clouds
205,Opuwo,NA,-18.0607,13.84,54.18,33,3,6.13,clear sky
206,Zaterechnyy,RU,44.7931,45.2097,73.45,45,0,3.94,clear sky
207,Vila Do Maio,CV,15.1333,-23.2167,77.79,72,99,8.77,overcast clouds
208,Japura,ID,-0.3167,102.35,90.28,45,16,4.97,few clouds
209,Bull Savanna,JM,17.8868,-77.5902,76.53,87,99,5.48,overcast clouds
210,Berlevag,NO,70.8578,29.0864,44.6,91,100,9.13,overcast clouds
211,Saint-Pierre,RE,-21.3393,55.4781,69.48,69,75,19.57,light rain
212,Rio De Jesus,PA,7.9844,-81.1631,76.78,89,95,1.23,overcast clouds
213,Benjamin Constant,BR,-4.3831,-70.0311,73.53,79,30,1.57,scattered clouds
214,Pisco,PE,-13.7,-76.2167,60.03,82,5,3.44,mist
215,Severo-Kurilsk,RU,50.6789,156.125,59.14,90,87,1.34,overcast clouds
216,Bardiyah,LY,31.7561,25.0865,77.63,74,0,10.58,clear sky
217,Ornskoldsvik,SE,63.2909,18.7153,67.15,63,20,3.44,few clouds
218,Avera,US,33.194,-82.5271,80.47,69,67,3.15,broken clouds
219,Hasaki,JP,35.7333,140.8333,91.29,77,15,18.52,few clouds
220,Torzhok,RU,57.0436,34.9622,63.19,89,77,3.42,broken clouds
221,Port Keats,AU,-14.25,129.55,88.66,39,40,9.08,scattered clouds
222,Mahebourg,MU,-20.4081,57.7,72.25,72,100,23.73,light rain
223,Kamenka,RU,51.3223,42.7678,70.7,52,100,2.48,light rain
224,Camopi,GF,3.1655,-52.3158,69.98,99,47,1.81,scattered clouds
225,Ostrovnoy,RU,68.0531,39.5131,47.08,74,100,4.54,overcast clouds
226,Villazon,BO,-22.0866,-65.5942,32.74,45,99,1.12,overcast clouds
227,Kruisfontein,ZA,-34.0033,24.7314,48.58,88,78,6.17,broken clouds
228,Balakhninskiy,RU,58.0106,114.2769,78.98,42,5,12.53,clear sky
229,Mount Gambier,AU,-37.8333,140.7667,57.96,63,31,10.96,scattered clouds
230,Gladstone,AU,-23.85,151.25,81.79,53,23,6.91,light rain
231,Carutapera,BR,-1.195,-46.02,75.63,87,6,4.41,clear sky
232,Yebaishou,CN,41.3975,119.6408,74.98,80,100,2.82,light rain
233,Mount Isa,AU,-20.7333,139.5,87.57,19,4,6.91,clear sky
234,Vydrino,RU,51.485,104.8461,55.81,98,100,4.68,overcast clouds
235,Burns Lake,CA,54.2331,-125.7533,59.25,75,100,3.31,overcast clouds
236,Praya,CV,14.9215,-23.5087,77.54,65,75,11.5,broken clouds
237,Ishigaki,JP,24.3448,124.1572,84.33,89,40,5.75,scattered clouds
238,Chiredzi,ZW,-21.05,31.6667,52.2,71,0,2.86,clear sky
239,Sechura,PE,-5.5569,-80.8222,67.24,81,19,11.7,few clouds
240,Morlaix,FR,48.5833,-4.0,59.05,94,20,8.05,few clouds
241,Porgera,PG,-5.4667,143.2,50.36,86,96,2.17,overcast clouds
242,Dunmore Town,BS,25.5,-76.65,83.34,77,7,10.51,clear sky
243,Le Port,RE,-20.9373,55.2919,69.8,81,68,9.48,broken clouds
244,Constitucion,CL,-35.3333,-72.4167,49.26,63,0,5.75,clear sky
245,Tautira,PF,-17.7333,-149.15,77.02,76,47,4.36,light rain
